genes,mod_types,rmgm_id,reference_pubmed1
PBANKA_1404000,disrupted,1,Not published (yet)
PBANKA_1111000,disrupted,1,Not published (yet)
PBANKA_1360100,disrupted,1,Not published (yet)
PBANKA_1128300,disrupted,1,Not published (yet)
PBANKA_0909000,disrupted,1,Not published (yet)
PBANKA_0211400,disrupted,1,Not published (yet)
PBANKA_1360100,disrupted,1,23402751
PBANKA_1113000,disrupted,1,23402751
PY17X_1114100,disrupted,1,18758447
PBANKA_1432400,disrupted,1,23461714
PBANKA_1332400,disrupted,1,23434509
PY17X_0719200,disrupted,1,23356439
PY17X_0719200,mutated,1,23356439
PY17X_0816300,disrupted,1,23421981
PBANKA_0102300,disrupted,1,23468629
PBANKA_0102300,disrupted,1,23468629
PBANKA_1145400,disrupted,1,27022937
PBANKA_0707000,disrupted,1,23490300
PBANKA_0923800,disrupted,1,23500072
PY17X_1210000,disrupted,1,23587146
PBANKA_1128900,disrupted,1,Not published (yet)
PBANKA_0301000,disrupted,1,Not published (yet)
PY17X_0305700,disrupted,1,23634205
PY17X_0305600,disrupted,1,23634205
PBANKA_1139800,disrupted,1,23699412
PBANKA_1338700,disrupted,1,Not published (yet)
PBANKA_1222500,disrupted,1,Not published (yet)
PBANKA_1320700,disrupted,1,Not published (yet)
PBANKA_0409700,disrupted,1,Not published (yet)
PBANKA_0517600,disrupted,1,Not published (yet)
PBANKA_1014500,disrupted,1,Not published (yet)
PBANKA_0927300,disrupted,1,23638681
PBANKA_1337800,disrupted,1,23638681
PBANKA_0833300,disrupted,1,23638681
PBANKA_1243000,disrupted,1,23638681
PBANKA_0932100,disrupted,1,23638681
PBANKA_0512000,disrupted,1,23638681
PBANKA_0312600,disrupted,1,23638681
PBANKA_1420900,disrupted,1,23638681
PBANKA_1419700,disrupted,1,23638681
PBANKA_0403200,mutated,1,23716612
PBANKA_0830400,disrupted,1,23773015
PBANKA_0822300,disrupted,1,23805304
PBANKA_1356000,disrupted,1,Not published (yet)
PBANKA_0931200,disrupted,1,23869529
PBANKA_1008500,disrupted,1,23869529
PBANKA_1334300,disrupted,1,23869529
PBANKA_0941300,disrupted,1,23869529
PBANKA_1358000,disrupted,1,23869529
PBANKA_1459200,disrupted,1,23935500
PBANKA_1140700,disrupted,1,23935500
PBANKA_0501400,disrupted,1,23937520
PBANKA_1003000,disrupted,1,24509910
PBANKA_1003000,disrupted,1,24509910
PBANKA_0808100,disrupted,1,24509910
PBANKA_0808100,disrupted,1,24509910
PBANKA_0808100,disrupted,1,24509910
PBANKA_1002200,disrupted,1,24509910
PBANKA_0808100,disrupted,1,24509910
PBANKA_1002100,disrupted,1,24509910
PY17X_0811300,disrupted,1,24509910
PBANKA_1447800,disrupted,1,Not published (yet)
PBANKA_0941300,disrupted,1,24076174
PBANKA_1358000,disrupted,1,24076174
PBANKA_1334300,disrupted,1,24076174
PBANKA_0931200,disrupted,1,24076174
PBANKA_1008500,disrupted,1,24076174
PBANKA_1107100,mutated,1,24089525
PBANKA_0915000,disrupted,1,24108241
PBANKA_1129800,disrupted,1,Not published (yet)
PBANKA_1129800,disrupted,1,Not published (yet)
PBANKA_0416500,disrupted,1,24237419
PBANKA_1324300,disrupted,1,24244852
PBANKA_1209400,disrupted,1,24244852
PBANKA_0314200,disrupted,1,24265753
PBANKA_0314200,mutated,1,24265753
PBANKA_1003900,disrupted,1,29307698
PBANKA_1109400,mutated,1,24284631
PBANKA_0813000,disrupted,1,24281719
PBANKA_1107100,mutated,1,24348254
PBANKA_1107100,disrupted,1,24348254
PY17X_0934900,disrupted,1,24330260
PY17X_1418400,disrupted,1,24330260
PY17X_1312000,disrupted,1,24330260
PBANKA_0501200,mutated,1,24446886
PBANKA_1030100,mutated,1,24471657
PBANKA_1237400,disrupted,1,24586983
PBANKA_1029200,disrupted,1,24586983
PBANKA_0943500,disrupted,1,24586983
PBANKA_0303800,disrupted,1,24586983
PBANKA_0614300,disrupted,1,24586983
PBANKA_1109400,disrupted,1,24594931
PBANKA_0203100,disrupted,1,24594931
PBANKA_1008200,mutated,1,24594931
PBANKA_1022500,disrupted,1,24657782
PBANKA_1437500,disrupted,1,24572359
PBANKA_1034300,disrupted,1,24572359
PBANKA_0501300,mutated,1,24670267
PBANKA_0902100,disrupted,1,24755823
PBANKA_0902100,disrupted,1,24755823
PBANKA_1030100,mutated,1,24743229
PBANKA_0604700,disrupted,1,25011111
PBANKA_1007700,disrupted,1,25011111
PBANKA_1028300,disrupted,1,25011111
PBANKA_0910200,disrupted,1,25011111
PBANKA_1318700,disrupted,1,25011111
